lr=0.01,lr=0.003,lr=0.001,lr=0.0003,lr=0.0001,lr=3e-05
,,111789.04627990724,116485.7351989746,130821.48916625977,134808.6198425293
,,88679.93383026123,98755.88801574708,111426.2174987793,131271.10696411133
,,81561.57187652588,92252.22108459473,103826.85830688477,124090.99340820312
,,78662.53444671631,87783.805519104,100052.96026611328,116176.51068115234
,,74277.01139068604,84283.35191345215,97028.88661193848,110487.6003112793
,,74083.13501739502,81320.74529266357,94584.51583862305,106173.298828125
,,69242.41400909424,78729.48377990723,92529.142578125,103286.8279876709
,,73988.34678649902,76739.41535186768,90403.87559509276,101193.51878356934
,,64912.85486602783,74874.50481414795,88737.66124725342,99735.5838470459
,,67718.24858093262,72749.62967681885,87319.22204589844,98312.51402282715
,,66099.59629821777,70993.19841003418,85811.80250549316,97183.18200683594
,,65470.02500152588,69248.61888885498,84172.06707763672,96429.59780883789
,,62381.146644592285,67419.37815093994,82938.5859375,95849.01063537598
,,61672.52429962158,66029.0798034668,81443.5909576416,96594.9262084961
,,62142.35500335693,64206.3131942749,80091.44214630127,96171.29231262207
