Lookahead-Adam,Adam,ExtraSGD,Lookahead-SGD,SGD,ExtraAdam,ExtraAdam.1,OGDA
48838.90385437012,49471.5442199707,83949.10939025879,73738.45397949219,69548.41226196289,29444.68727874756,30297.191009521484,83933.64573669434
41945.99931335449,42966.39456176758,60291.583099365234,49944.87013244629,46877.81867980957,30653.12184906006,28713.89035797119,49812.426208496094
38198.91929626465,39306.3337097168,56824.00582885742,46236.274826049805,44121.23289489746,33051.70140075684,29932.067657470703,47115.25372314453
35224.561180114746,36484.8611831665,52758.45948791504,44527.16632080078,42024.25048828125,32933.68798828125,32026.24166870117,44943.499923706055
33178.2572555542,35128.86361694336,50424.49075317383,42830.74188232422,40520.25917053223,33360.810287475586,32645.96071624756,43605.98258972168
31137.28887939453,32842.75915527344,48946.04716491699,41842.833084106445,38876.21926116943,32866.92618560791,33669.73979949951,42323.61235046387
29272.55603027344,30944.626655578613,48205.35264587402,40460.14839172363,37375.75900268555,32804.50695800781,33465.06428527832,41130.3512878418
27916.067573547363,29605.401245117188,46876.676849365234,39456.59069824219,35915.882957458496,32195.7108001709,33691.81418609619,39515.24882507324
26710.35235595703,28538.718894958496,46226.69108581543,38441.35318756104,34370.36794281006,31819.972900390625,32862.28022003174,38490.471435546875
25669.49575042725,27339.03077697754,47128.56579589844,37491.88464355469,33435.63162231445,31125.255859375,32490.88565826416,37230.33403778076
