Lookahead,Lookahead.1,Lookahead.2,Adam
11.284182071685793,457.69408202171326,215.3421107530594,212.9191439151764
4.950155019760132,370.4191694259644,180.84331679344177,186.6091192960739
4.717155694961548,325.6018054485321,171.586359500885,178.97050964832306
,291.3010107278824,168.1934267282486,169.66164124011993
,259.93550169467926,158.478080868721,164.5183893442154
,242.85201108455652,153.87118649482727,160.02108550071716
,227.3033306002617,148.02007842063904,153.93597662448883
,217.56280648708344,145.84011578559875,146.64645421504974
,206.87369620800013,139.42912209033966,143.70851016044617
,198.17307728528976,134.60416686534882,140.3196643590927
,,131.03199660778046,136.5508680343628
,,127.95997989177704,132.1973009109497
,,124.42408502101898,129.45285940170288
,,120.28019905090332,123.61483502388
,,116.59640538692474,124.19489258527756
,,114.20947086811066,123.08269667625427
,,110.64174050092696,119.02954280376434
,,106.65779465436935,113.76446688175201
,,106.6003479361534,113.25877398252487
,,104.3855904340744,108.78857415914536
