"(0.001, 0, 0) C-1","(0.001, 0, 0) C-2","(0.001, 0, 0) C-3","(0.001, 0, 0) C-4","(0.001, 0, 0) C-5","(0.001, 0, 0) C-6","(0.001, 0, 0) C-7","(0.001, 0, 0) C-8","(0.001, 0, 0) C-9","(0.001, 0, 0) C-10"
97849.1110458374,98771.21913146973,99290.34020996094,101507.41667175292,98585.12743377686,99464.86880493164,98143.2870941162,100354.83435058594,100397.9413986206,98532.26290130615
61903.60272216797,61517.719581604,62989.410247802734,62596.68452453613,62797.99104309082,62947.5739364624,61855.93487548828,63520.80250549317,63616.405990600586,61705.92574310303
50272.98929977417,49652.27102661133,50471.60738372803,50066.63145446777,50532.75057220459,50692.48780822754,49393.52764129639,51381.65154266357,51334.34783172608,49945.189445495605
41950.834732055664,41779.260845184326,42177.11367034912,41796.95399475098,42093.592544555664,42689.25462722778,41519.8187789917,42791.0154838562,43270.95444869995,41513.93470001221
35790.77421951294,35503.34421157837,36242.58225631714,35666.864837646484,35657.39602661133,35916.9677696228,34855.33681488037,36130.179832458496,36926.25138473511,34880.36206817627
29756.8976020813,30039.225383758545,30338.88722991944,30365.43199539185,30625.234210968018,30689.79308700561,29267.041553497314,31079.19399452209,31521.65186691284,29962.60412979126
25217.75575828552,24913.271194458008,25565.61079216004,25450.518716812134,25561.40320968628,25783.79061126709,24508.50002861023,25760.551012039185,26494.19247817993,24790.398120880127
20812.65836524964,20679.149976730347,21224.379762649536,21256.26241111756,21101.31994819641,20953.79235649109,20243.692138671875,21876.805961608887,22299.16756439209,20463.821822166443
17256.5021982193,17397.037506103516,17240.209117889404,17554.01013278961,17325.56331729889,17584.294067382812,16424.856125831604,17830.616597175598,18338.597896575928,16564.548557281494
14035.0524892807,14018.91813659668,13931.154167175291,14604.821208000183,14370.20705986023,14510.661940097809,13706.175169944763,14538.041326522827,15426.388978004456,14360.450917243958
11380.248798847198,11779.384582042694,11461.377791404724,12000.91883802414,11699.879437923431,11404.400218963625,10865.942958831787,11981.972507476808,12688.605800628662,10994.405194759369
9612.411591529846,9297.23628616333,9536.36445760727,9209.411957025528,9492.54319190979,9125.8200237751,8923.060069799423,9946.145181179048,10484.832270622252,8903.33489370346
7976.625086069107,7428.589004993439,7584.207643985748,8034.308754682541,7593.635594844818,8181.396885275841,7524.89097225666,8154.158893585205,8754.156215429306,7413.418766975403
6438.949722766876,6447.611449837685,6796.967934966087,6852.36328125,6357.862562537193,6342.582991838455,6453.740753412247,6547.287979364395,7470.02925658226,6206.471422314644
5274.635575890541,5483.742275476456,5537.230774283409,5139.194565355778,5668.931231379509,5409.775864481926,5019.829356908798,5790.528542280197,5802.507075428963,5462.448836684227
4681.879107534885,4523.403437912464,4648.510171890259,4877.733185768127,4519.095561742783,4905.640979409218,4601.257032632828,4785.901745438576,5069.443079173565,4324.27520942688
4123.882150053978,3746.232813060284,4405.146499693394,4003.56612098217,4410.195875406265,3764.104177474976,3403.056657373905,4134.225523233414,4720.368855774403,3916.440491914749
2824.778673827648,3577.4899037778378,3551.931280910969,3672.221091091633,3487.854643344879,3543.0856105089188,3473.847316980362,3557.406466662884,3979.424930036068,3777.22363114357
3459.589814245701,3281.989452779293,2803.773599088192,2991.497711598873,2884.3980521559715,2829.850218445062,3013.575620085001,2992.3849928975105,3534.250105381012,2827.3666388988495
2466.120375990868,2948.830511689186,2980.45197096467,2319.7352624833584,2708.5092370808125,2444.655573040247,2855.2778622210026,2765.749625235796,2765.758077830076,3013.2975884377956
2070.2197562754154,2543.525440379977,2597.8196086883545,2543.32489939034,2210.9737378507853,1918.6635867506263,2316.104724124074,2868.062691152096,2718.3170084655285,2447.4233075380325
2310.4098386466503,2109.110500976444,2179.646415144205,2184.5106539428234,1962.1401685997844,2367.8556299954653,2419.8902118057013,2627.8163425177336,2373.822817146778,1993.94194214046
2237.475928232074,1916.4192031770945,1786.8256583064797,1763.58993948251,2150.518759548664,2247.5401848852634,1961.08027985692,1809.806296378374,2331.7687641978264,1838.7463085651398
1494.84611748904,1805.2484770864248,2008.7433148771524,1279.2367998808622,2006.626986384392,2194.679973706603,1721.690161690116,1544.510389149189,1605.2513271197677,1894.5431785136461
1694.2569712549448,1827.035700701177,1915.5262383818624,2247.6008357405663,1656.3776028603315,1637.4172763824463,1452.4576741084456,1953.1782206371429,1965.586520150304,1580.963664982468
