"(0.0003, 5, 0.9) C-1","(0.0003, 5, 0.9) C-2","(0.0003, 5, 0.9) C-3","(0.0003, 5, 0.9) C-4","(0.0003, 5, 0.9) C-5","(0.0003, 5, 0.9) C-6","(0.0003, 5, 0.9) C-7","(0.0003, 5, 0.9) C-8","(0.0003, 5, 0.9) C-9","(0.0003, 5, 0.9) C-10"
36226.07483673096,36453.00796890259,36842.532751083374,36592.51697921753,36276.47584724426,37212.90468406677,35646.57225227356,36739.45163345337,35592.566062927246,35966.81282234192
29783.07757949829,34118.33642196655,31866.54695701599,31770.382446289062,30957.97831916809,33241.15394973755,32243.57691001892,33005.833375930786,32128.585773468018,30414.390592575073
29894.723739624023,32382.19231033325,31846.65691947937,36670.53077697754,29858.425798416138,30872.32877922058,35041.07603645325,31650.61443710327,36075.22466468811,29623.477659225464
27779.27681159973,31587.883432388306,30251.657623291016,29334.26178741455,28251.62714576721,30099.03179359436,31541.12840461731,29960.69809913636,29705.82999420166,30637.32497215271
26399.537660598755,27627.906635284424,27951.340061187744,28279.03567123413,28227.71689605713,30122.33694458008,29246.284957885742,28337.85722541809,27732.483266830444,28653.63012123108
26342.67895698548,29088.000675201416,28061.07215118408,28618.816690444943,26593.495262146,27278.55781173706,29442.87141227722,28937.844076156616,27460.897117614742,27515.452236175537
24863.91872787476,26532.727605819706,26527.03470802307,27245.60570716858,26408.82420730591,27592.58175086975,26961.256771087646,27386.35016441345,27557.81701087952,26147.665021896362
25473.30127811432,25022.18543243408,26987.543535232544,28384.10111618042,25689.554962158203,25474.501529693604,28435.39281272888,27816.919790267944,24364.12059211731,25058.833919525146
24954.79309463501,24949.53801727295,25286.684381484985,26574.455030441284,23205.150594711304,25313.906575202946,24755.835960388184,28029.075492858887,26142.40591430664,23150.751832962036
25684.811646461487,23756.296474456787,25945.08222579956,26153.461853027344,23690.887660980225,24222.977424621586,27293.48080253601,25570.512226104736,23078.898363113403,25041.555656433105
22292.688957214355,22784.57708263397,22962.97650527954,24695.447374343872,22141.557019233704,24327.268796920776,25385.53155708313,26086.42268371582,24691.42854690552,22103.76312637329
23796.89852523804,21543.7693195343,23832.54749107361,25872.567901611328,23261.397130966187,23965.83016586304,24623.49206161499,24818.168266296387,23288.307878494263,23803.39063835144
