"(0.001, 10, 0.5) C-1","(0.001, 10, 0.5) C-2","(0.001, 10, 0.5) C-3","(0.001, 10, 0.5) C-4","(0.001, 10, 0.5) C-5","(0.001, 10, 0.5) C-6","(0.001, 10, 0.5) C-7","(0.001, 10, 0.5) C-8","(0.001, 10, 0.5) C-9","(0.001, 10, 0.5) C-10"
,65546.01488113403,63574.16212463379,66607.94058990479,67198.4440612793,69629.67803573608,64337.55752182007,,62944.98022842407,68373.00453948975
,35705.2038269043,34699.16918754578,35753.25407791138,36233.27727890015,36278.58551025391,35509.05728149414,,35555.55087661743,35582.74669647217
,29649.871955871586,29391.47604751587,29438.166328430176,30080.461486816406,30008.6716632843,29604.05915260315,,29867.91653251648,29874.192134857178
,26049.94446182251,25956.13838386536,26543.052501678467,26490.192306518555,,26189.933921813965,,26079.050609588623,26237.834619522095
,,24066.968326568604,24289.828987121586,24052.80043792725,,23782.53466796875,,23816.44614982605,23825.851652145386
,,22038.337617874146,22285.82758331299,22136.553958892822,,22091.29459285736,,22184.17339611053,22436.465084075928
,,20597.67640304565,20952.25827217102,20724.70729637146,,20837.251182556152,,20972.915523529053,20970.8276386261
,,19706.368567466736,19808.88662624359,19736.62304496765,,19802.640051841736,,19880.826155662537,19814.800324440002
,,18864.319325447083,19023.83369636536,18832.186425209045,,18752.00264263153,,19000.93184661865,18853.00536251068
,,17917.29277229309,18065.641268730164,17995.955850601196,,17987.211757659912,,18111.54355430603,18093.19626903534
,,17135.25204181671,17278.09942817688,17483.41049671173,,17134.672212600708,,17498.21702003479,17301.10669708252
,,16547.242502212524,16764.28121471405,16614.64020061493,,16499.322834014893,,17111.061940193176,16701.944787979126
