"(0.0003, 0, 0) C-1","(0.0003, 0, 0) C-2","(0.0003, 0, 0) C-3","(0.0003, 0, 0) C-4","(0.0003, 0, 0) C-5","(0.0003, 0, 0) C-6","(0.0003, 0, 0) C-7","(0.0003, 0, 0) C-8","(0.0003, 0, 0) C-9","(0.0003, 0, 0) C-10"
61445.72911834717,62014.715030670166,60946.34428024292,60161.23836517334,62605.55165481568,60778.94745635986,61805.590965271,62053.100467681885,61542.99211502075,61710.202812194824
35732.67835235596,35597.564571380615,35095.39867782593,35465.669494628906,35808.919120788574,35844.31447601318,35296.44462966919,35108.01746749878,35507.73208236694,35980.725021362305
31255.949939727783,30618.13165855408,30161.12484359741,30714.980222702023,30558.608266830444,30493.48211288452,30080.681455612183,29657.21057319641,30143.841760635376,30883.93468284607
27875.64123916626,27449.92062187195,27248.57733345032,27557.232063293457,27506.788316726685,27455.770315170288,26981.51369667053,26806.230884552,27226.71385383606,27638.18543624878
25816.21311378479,25322.466346740723,24932.93398284912,25560.14157867432,25422.8531665802,25354.95795249939,24917.271587371823,24601.605295181274,25077.106420516968,25557.348150253296
24083.01086616516,23927.989458084103,23410.752723693848,23826.43706130981,23622.535732269287,24324.24666786194,23283.604028701782,23006.12315177917,23633.05005645752,23866.78313446045
22772.09397506714,22432.688737869263,21992.9725894928,22465.76451206208,22367.28637886048,22468.66651916504,22023.207571029663,21790.14559173584,22233.727306365967,22454.808049201965
21710.0958070755,21490.31861114502,21048.424226760864,21337.7969417572,21338.1105709076,21371.092037200928,20876.46819114685,20729.620538711548,21198.791509628296,21342.23416519165
20651.308188438416,20596.341629981995,20129.774656295776,20350.411454200745,20353.23927783966,20385.35903930664,20087.67988014221,19769.40061569214,20461.27318954468,20488.469641685486
19853.3081035614,19727.74883747101,19331.0986032486,19648.532114982605,20564.68731021881,19663.84163093567,19360.354669570923,19014.0700044632,19556.831142425537,19595.58750152588
19848.56381893158,18960.22394180298,18856.243074417114,18951.083075523376,19057.24873828888,18943.333673477173,18693.61718082428,18397.86386585236,18862.98597431183,18884.0649433136
18682.730052948,18521.216579437256,18078.37186050415,18338.461009025574,18290.68357181549,18297.29455947876,18043.53683757782,17755.196615219116,18238.027505874637,18256.344336509705
